// Ce fichier doit être enregistré avec l'encodage "UTF-8" pour conserver les accents
// Le nom des villes est celui qui apparait dans les exports HTML et PDF
// Pays ; TimeZone ; E=Zone Euro, M=Zone MC hors Euro, L=Zone LC (pour calcul frais réels) ; Bigramme


AJA ; Ajaccio ; France ; Europe/Paris ; E ; FR
BES ; Brest ; France ; Europe/Paris ; E ; FR
BIA ; Bastia ; France ; Europe/Paris ; E ; FR
BIQ ; Biarritz ; France ; Europe/Paris ; E ; FR
BOD ; Bordeaux ; France ; Europe/Paris ; E ; FR
CDG ; Cdg ; France ; Europe/Paris ; E ; FR
CFE ; Clermont-Fd. ; France ; Europe/Paris ; E ; FR
CLY ; Calvi ; France ; Europe/Paris ; E ; FR
FSC ; Figari ; France ; Europe/Paris ; E ; FR
LIL ; Lille ; France ; Europe/Paris ; E ; FR
LRT ; Lorient ; France ; Europe/Paris ; E ; FR
LYS ; Lyon ; France ; Europe/Paris ; E ; FR
MLH ; Mulhouse ; France ; Europe/Paris ; E ; FR
MPL ; Montpellier ; France ; Europe/Paris ; E ; FR
MRS ; Marseille ; France ; Europe/Paris ; E ; FR
NCE ; Nice ; France ; Europe/Paris ; E ; FR
NTE ; Nantes ; France ; Europe/Paris ; E ; FR
ORY ; Ory ; France ; Europe/Paris ; E ; FR
PGF ; Perpignan ; France ; Europe/Paris ; E ; FR
PUF ; Pau ; France ; Europe/Paris ; E ; FR
RNS ; Rennes ; France ; Europe/Paris ; E ; FR
SXB ; Strasbourg ; France ; Europe/Paris ; E ; FR
TLN ; Toulon ; France ; Europe/Paris ; E ; FR
TLS ; Toulouse ; France ; Europe/Paris ; E ; FR

DUS ; Düsseldorf ; Allemagne ; Europe/Berlin ; E ; DE
FRA ; Francfort ; Allemagne ; Europe/Berlin ; E ; DE
HAM ; Hambourg ; Allemagne ; Europe/Berlin ; E ; DE
MUC ; Münich ; Allemagne ; Europe/Berlin ; E ; DE
STR ; Stuttgart ; Allemagne ; Europe/Berlin ; E ; DE
TXL ; Berlin ; Allemagne ; Europe/Berlin ; E ; DE

LIS ; Lisbonne ; Portugal ; Europe/Lisbon ; E ; PT
OPO ; Porto ; Portugal ; Europe/Lisbon ; E ; PT

AGP ; Malaga ; Espagne ; Europe/Madrid ; E ; ES
BCN ; Barcelone ; Espagne ; Europe/Madrid ; E ; ES
MAD ; Madrid ; Espagne ; Europe/Madrid ; E ; ES
PMI ; Palma ; Espagne ; Europe/Madrid ; E ; ES
SVQ ; Séville ; Espagne ; Europe/Madrid ; E ; ES
VLC ; Valence ; Espagne ; Europe/Madrid ; E ; ES
ZAZ ; Saragosse ; Espagne ; Europe/Madrid ; E ; ES

BLQ ; Bologne ; Italie ; Europe/Rome ; E ; IT
