ABJ ; Abidjan ; AMO
ACC ; Accra ; AMO
AMM ; Amman ; AMO
AUH ; Abou-Dhabi ; AMO
BAH ; Bahrein ; AMO
BEY ; Beyrouth ; AMO
BGF ; Bangui ; AMO
BKO ; Bamako ; AMO
BZV ; Brazzaville ; AMO
CAI ; Le_Caire ; AMO
CKY ; Conakry ; AMO
COO ; Cotonou ; AMO
CPT ; Cape_town ; AMO
DAM ; Damas ; AMO
DKR ; Dakar ; AMO
DLA ; Douala ; AMO
DXB ; Dubai ; AMO
FIH ; Kinshasa ; AMO
IKA ; Teheran ; AMO
JED ; Djedda ; AMO
JIB ; Djibouti ; AMO
JNB ; Johannesbourg ; AMO
LAD ; Luanda ; AMO
LBV ; Libreville ; AMO
LFW ; Lome ; AMO
LOS ; Lagos ; AMO
NBO ; Nairobi ; AMO
NDJ ; N_djamena ; AMO
NKC ; Nouakchott ; AMO
NSI ; Yaounde ; AMO
OUA ; Ouagadougou ; AMO
PHC ; Port_Harcourt ; AMO
PNR ; Pointe_Noire ; AMO
ROB ; Monrovia ; AMO
RUH ; Riyad ; AMO
SSG ; Malabo ; AMO

ATL ; Atlanta ; AME
BOG ; Bogota ; AME
BOS ; Boston ; AME
BSB ; Brasilia ; AME
CCS ; Caracas ; AME
CUN ; Cancun ; AME
CVG ; Cincinnati ; AME
DTW ; Detroit ; AME
EWR ; New_York ; AME
EZE ; Buenos_Aires ; AME
GIG ; Rio_de_Janeiro ; AME
GRU ; Sao_Paulo ; AME
IAD ; Washington ; AME
IAH ; Houston ; AME
JFK ; New_York ; AME
LAX ; Los_Angeles ; AME
LIM ; Lima ; AME
MCO ; Orlando ; AME
MEX ; Mexico ; AME
MIA ; Miami ; AME
MSP ; Minneapolis ; AME
ORD ; Chicago ; AME
PHL ; Philadelphie ; AME
PPT ; Papeete ; AME
PTY ; Panama_City ; AME
SCL ; Santiago_du_Chili ; AME
SEA ; Seattle ; AME
SFO ; San_Francisco ; AME
YUL ; Montreal ; AME
YVR ; Vancouver ; AME
YYZ ; Toronto ; AME

BEJ ; Beijing_Pekin ; APC
BKK ; Bangkok ; APC
BLR ; Bangalore ; APC
BOM ; Mumbai ; APC
CAN ; Guangzhou_Canton ; APC
DEL ; New_Delhi ; APC
EVN ; Yerevan ; APC
HAN ; Hanoi ; APC
HND ; Tokyo ; APC
HKG ; Hong-Kong ; APC
ICN ; Seoul ; APC
KIX ; Osaka ; APC
KUL ; Kuala_Lumpur
MAA ; Chennai_Madras ; APC
NOU ; Noumea ; APC
NRT ; Tokyo ; APC
PEK ; Beijing_Pekin ; APC
PVG ; Shanghai ; APC
SGN ; Ho_Chi_Minh_Ville ; APC
SIN ; Singapour ; APC
TAS ; Tachkent ; APC
WUH ; Wuhan ; APC

CAY ; Cayenne ; COI
FDF ; Fort-de-France ; COI
HAV ; La_Havane ; COI
MLE ; Male ; COI
MRU ; Ile_Maurice ; COI
PTP ; Pointe-a-Pitre ; COI
PUJ ; Punta-cana ; COI
RUN ; Saint_Denis_Reunion ; COI
SDQ ; Saint_Domingue ; COI
SXM ; Saint_Martin ; COI
TNR ; Antananarivo ; COI

AJA ; Ajaccio ; FRA
BES ; Brest ; FRA
BIQ ; Biarritz ; FRA
BOD ; Bordeaux ; FRA
CFE ; Clermont-Fd ; FRA
FNI ; Nimes ; FRA
GNB ; Grenoble ; FRA
LDE ; Tarbes ; FRA
LRT ; Lorient ; FRA
LYS ; Lyon ; FRA
MLH ; Mulhouse ; FRA
MPL ; Montpellier ; FRA
MRS ; Marseille ; FRA
NCE ; Nice ; FRA
NTE ; Nantes ; FRA
PGF ; Perpignan ; FRA
PUF ; Pau ; FRA
SXB ; Strasbourg ; FRA
TLN ; Toulon ; FRA
TLS ; Toulouse ; FRA
UIP ; Quimper ; FRA

AGP ; Malaga ; EUR
AMS ; Amsterdam ; EUR
ARN ; Stockholm ; EUR
ATH ; Athenes ; EUR
BCN ; Barcelone ; EUR
BLQ ; Bologne ; EUR
BUD ; Budapest ; EUR
CMN ; Casablanca ; EUR
CPH ; Copenhague ; EUR
DUS ; Dusseldorf ; EUR
FCO ; Rome ; EUR
FLR ; Florence ; EUR
FRA ; Francfort ; EUR
GLA ; Glasgow ; EUR
GVA ; Geneve ; EUR
HAM ; Hambourg ; EUR
HEL ; Helsinki ; EUR
IST ; Istanbul ; EUR
LED ; Saint_Petersbourg ; EUR
LHR ; Londres ; EUR
LIN ; Milan ; EUR
LIS ; Lisbonne ; EUR
MAD ; Madrid ; EUR
MAN ; Manchester ; EUR
MUC ; Munich ; EUR
MXP ; Milan ; EUR
NAP ; Naples ; EUR
OPO ; Porto ; EUR
OSL ; Oslo ; EUR
OTP ; Bucarest ; EUR
PRG ; Prague ; EUR
RAK ; Marrakech ; EUR
RBA ; Rabat ; EUR
SOF ; Sofia ; EUR
STR ; Stuttgart ; EUR
SVO ; Moscou ; EUR
SVQ ; Seville ; EUR
TLV ; Tel_Aviv ; EUR
TRN ; Turin ; EUR
TRS ; Trieste ; EUR
TUN ; Tunis ; EUR
TXL ; Berlin ; EUR
VCE ; Venise ; EUR
VIE ; Vienne ; EUR
WAW ; Varsovie ; EUR
ZAG ; Zagreb ; EUR
ZRH ; Zurich ; EUR
