MAJ Ete = Ete 2016
MAJ Hiver = Hiver 2016/2017

S ; AJA ; ORY ; 01h40
S ; ORY ; AJA ; 01h40
S ; ALG ; CDG ; 02h20
S ; CDG ; ALG ; 02h20
S ; AMM ; CDG ; 05h05
S ; CDG ; AMM ; 04h45
S ; AMS ; CDG ; 01h15
S ; CDG ; AMS ; 01h15
S ; AMS ; MRS ; 01h50
S ; MRS ; AMS ; 02h00
S ; ARN ; CDG ; 02h40
S ; CDG ; ARN ; 02h35
S ; ATH ; CDG ; 03h30
S ; CDG ; ATH ; 03h20
S ; BCN ; CDG ; 02h00
S ; CDG ; BCN ; 01h45
S ; BES ; CDG ; 01h15
S ; CDG ; BES ; 01h10
S ; BES ; ORY ; 01h10
S ; ORY ; BES ; 01h10
S ; BHX ; CDG ; 01h20
S ; CDG ; BHX ; 01h20
S ; BIA ; ORY ; 01h35
S ; ORY ; BIA ; 01h35
S ; BIQ ; ORY ; 01h20
S ; ORY ; BIQ ; 01h20
S ; BOD ; CDG ; 01h25
S ; CDG ; BOD ; 01h20
S ; BOD ; ORY ; 01h10
S ; ORY ; BOD ; 01h05
S ; BUD ; CDG ; 02h20
S ; CDG ; BUD ; 02h10
S ; CDG ; LHR ; 01h15 ; AF1080
S ; LHR ; CDG ; 01h15 ; AF1081
S ; CDG ; LHR ; 01h20 ; AF1180
S ; LHR ; CDG ; 01h15 ; AF1181
S ; CDG ; LHR ; 01h25 ; AF1280
S ; LHR ; CDG ; 01h10 ; AF1281
S ; CDG ; LHR ; 01h20 ; AF1380
S ; LHR ; CDG ; 01h20 ; AF1381
S ; CDG ; LHR ; 01h20 ; AF1580
S ; LHR ; CDG ; 01h15 ; AF1581
S ; CDG ; LHR ; 01h20 ; AF1680
S ; LHR ; CDG ; 01h15 ; AF1681
S ; CDG ; LHR ; 01h20 ; AF1780
S ; LHR ; CDG ; 01h15 ; AF1781
S ; CLY ; ORY ; 01h30
S ; ORY ; CLY ; 01h35
S ; CMN ; CDG ; 03h05
S ; CDG ; CMN ; 03h10
S ; CPH ; CDG ; 02h00
S ; CDG ; CPH ; 01h55
S ; EVN ; CDG ; 05h05
S ; CDG ; EVN ; 04h35
S ; FCO ; CDG ; 02h10
S ; CDG ; FCO ; 02h05
S ; FSC ; CDG ; 01h45
S ; CDG ; FSC ; 01h50
S ; GVA ; CDG ; 01h10
S ; CDG ; GVA ; 01h10
S ; HAM ; CDG ; 01h35
S ; CDG ; HAM ; 01h35
S ; IST ; CDG ; 03h45
S ; CDG ; IST ; 03h20
S ; KBP ; CDG ; 03h20
S ; CDG ; KBP ; 03h05
S ; LED ; CDG ; 03h30
S ; CDG ; LED ; 03h20
S ; LIN ; CDG ; 01h30
S ; CDG ; LIN ; 01h30
S ; LIS ; CDG ; 02h35
S ; CDG ; LIS ; 02h35
S ; LYS ; CDG ; 01h10
S ; CDG ; LYS ; 01h10
S ; LYS ; NCE ; 00h55
S ; NCE ; LYS ; 00h55
S ; LYS ; TLS ; 01h05
S ; TLS ; LYS ; 01h00
S ; MAD ; CDG ; 02h10
S ; CDG ; MAD ; 02h05
S ; MAN ; CDG ; 01h30
S ; CDG ; MAN ; 01h30
S ; MPL ; CDG ; 01h30
S ; CDG ; MPL ; 01h25
S ; MPL ; ORY ; 01h25
S ; ORY ; MPL ; 01h15
S ; MRS ; BES ; 01h40
S ; BES ; MRS ; 01h35
S ; MRS ; BIQ ; 01h10
S ; BIQ ; MRS ; 01h05
S ; MRS ; BOD ; 01h05
S ; BOD ; MRS ; 01h05
S ; MRS ; CDG ; 01h30
S ; CDG ; MRS ; 01h25
S ; MRS ; NTE ; 01h20
S ; NTE ; MRS ; 01h15
S ; MRS ; ORY ; 01h20
S ; ORY ; MRS ; 01h15
S ; MUC ; CDG ; 01h45
S ; CDG ; MUC ; 01h35
S ; NAP ; CDG ; 02h20
S ; CDG ; NAP ; 02h10
S ; NCE ; CDG ; 01h35
S ; CDG ; NCE ; 01h35
S ; NCE ; LIL ; 01h35
S ; LIL ; NCE ; 01h40
S ; NCE ; NTE ; 01h30
S ; NTE ; NCE ; 01h25
S ; NCE ; ORY ; 01h25
S ; ORY ; NCE ; 01h25
S ; NCE ; SXB ; 01h10
S ; SXB ; NCE ; 01h10
S ; NTE ; CDG ; 01h05
S ; CDG ; NTE ; 01h05
S ; OTP ; CDG ; 03h10
S ; CDG ; OTP ; 02h55
S ; PRG ; CDG ; 01h45
S ; CDG ; PRG ; 01h40
S ; PUF ; ORY ; 01h20
S ; ORY ; PUF ; 01h20
S ; RBA ; CDG ; 02h55
S ; CDG ; RBA ; 02h55
S ; SOF ; CDG ; 02h55
S ; CDG ; SOF ; 02h45
S ; SVO ; CDG ; 04h00
S ; CDG ; SVO ; 03h40
S ; TLN ; ORY ; 01h25
S ; ORY ; TLN ; 01h25
S ; ZRH ; CDG ; 01h20
S ; CDG ; ZRH ; 01h15
S ; TLS ; CDG ; 01h35
S ; CDG ; TLS ; 01h25
S ; TLS ; ORY ; 01h15
S ; ORY ; TLS ; 01h15
S ; TLS ; SXB ; 01h20
S ; SXB ; TLS ; 01h25
S ; TLV ; CDG ; 05h05
S ; CDG ; TLV ; 04h35
S ; TUN ; CDG ; 02h35
S ; CDG ; TUN ; 02h30
S ; TXL ; CDG ; 01h45
S ; CDG ; TXL ; 01h45
S ; VCE ; CDG ; 01h50
S ; CDG ; VCE ; 01h45
S ; VIE ; CDG ; 02h05
S ; CDG ; VIE ; 02h05
S ; WAW ; CDG ; 02h25
S ; CDG ; WAW ; 02h15
S ; CDG ; FLR ; 01h45
S ; FLR ; CDG ; 01h45
S ; BLQ ; CDG ; 01h45
S ; CDG ; BLQ ; 01h45
S ; CDG ; TRS ; 01h50
S ; TRS ; CDG ; 01h50
S ; TLS ; PMI ; 01h10
