MAJ ETE 2016
MAJ HIVER 2016/2017

S ; CDG ; ATL ; 09h25 ; ; 777
S ; ATL ; CDG ; 08h20 ; ; 777
S ; CDG ; BOS ; 07h25 ; AF 338 ; 777
S ; BOS ; CDG ; 06h45 ; AF 333 ; 777
S ; CDG ; IAD ; 08h25 ; AF 026 ; 777
S ; IAD ; CDG ; 07h30 ; AF 027 ; 777
S ; CDG ; IAH ; 10h25 ; ; 777
S ; IAH ; CDG ; 09h30 ; ; 777
S ; CDG ; JFK ; 08h10 ; AF 010 ; 777
S ; JFK ; CDG ; 07h15 ; AF 011 ; 777
S ; CDG ; JFK ; 08h00 ; AF 008 ; 777
S ; JFK ; CDG ; 07h05 ; AF 009 ; 777
S ; CDG ; MIA ; 09h30 ; ; 777
S ; MIA ; CDG ; 08h40 ; ; 777
S ; CDG ; LAX ; 11h30 ; AF 076 ; 777
S ; LAX ; CDG ; 10h40 ; AF 077 ; 777
S ; LAX ; PPT ; 08h15 ; ; 777
S ; PPT ; LAX ; 08h00 ; ; 777
S ; CDG ; LAX ; 11h40 ; AF 072 ; 777
S ; LAX ; CDG ; 10h45 ; AF 069 ; 777
S ; CDG ; SFO ; 11h25 ; AF 080 ; 777
S ; SFO ; CDG ; 10h35 ; AF 085 ; 777
S ; CDG ; YVR ; 10h00 ; AF 374 ; 777
S ; YVR ; CDG ; 09h35 ; AF 379 ; 777
S ; CDG ; YYZ ; 08h05 ; ; 777
S ; YYZ ; CDG ; 07h20 ; ; 777
S ; CDG ; YUL ; 07h25 ; AF 342 ; 777
S ; YUL ; CDG ; 06h40 ; AF 345 ; 777
S ; CDG ; YUL ; 07h25 ; AF 348 ; 777
S ; YUL ; CDG ; 06h40 ; AF 349 ; 777
S ; CDG ; YUL ; 07h25 ; AF 344 ; 777
S ; YUL ; CDG ; 06h45 ; AF 347 ; 777
S ; CDG ; GIG ; 11h10 ; ; 777
S ; GIG ; CDG ; 10h50 ; ; 777
S ; CDG ; GRU ; 11h35 ; AF 454 ; 777
S ; GRU ; CDG ; 11h10 ; AF 457 ; 777
S ; CDG ; GRU ; 11h35 ; AF 456 ; 777
S ; GRU ; CDG ; 11h10 ; AF 459 ; 777
S ; CDG ; LIM ; 12h20 ; ; 777
S ; LIM ; CDG ; 12h15 ; ; 777
S ; CDG ; EZE ; 13h40 ; ; 777
S ; EZE ; CDG ; 13h00 ; ; 777
S ; EZE ; MVD ; 00h50 ; ; 777
S ; MVD ; EZE ; 00h50 ; ; 777
S ; CDG ; SCL ; 14h20 ; ; 777
S ; SCL ; CDG ; 13h40 ; ; 777
S ; CDG ; BSB ; 10h55 ; AF 520 ; 777
S ; BSB ; CDG ; 10h35 ; AF 515 ; 777
S ; CDG ; PTY ; 10h50 ; AF 474 ; 777
S ; PTY ; CDG ; 10h20 ; AF 475 ; 777
S ; CDG ; HKG ; 11h45 ; AF 188 ; 777
S ; HKG ; CDG ; 12h50 ; AF 185 ; 777
S ; CDG ; PEK ; 09h50 ; AF 128 ; 777
S ; PEK ; CDG ; 10h55 ; AF 129 ; 777
S ; CDG ; PEK ; 09h50 ; AF 382 ; 777
S ; PEK ; CDG ; 10h40 ; AF 381 ; 777
S ; CDG ; PVG ; 11h00 ; AF 112 ; 777
S ; PVG ; CDG ; 12h15 ; AF 117 ; 777
S ; CDG ; PVG ; 11h00 ; AF 116 ; 777
S ; PVG ; CDG ; 12h10 ; AF 111 ; 777
S ; CDG ; CAN ; 11h35 ; ; 777
S ; CAN ; CDG ; 12h45 ; ; 777
S ; CDG ; WUH ; 10h40 ; ; 777
S ; WUH ; CDG ; 11h35 ; ; 777
S ; CDG ; ICN ; 10h45 ; ; 777
S ; ICN ; CDG ; 11h55 ; ; 777
S ; CDG ; KIX ; 11h35 ; ; 777
S ; KIX ; CDG ; 12h25 ; ; 777
S ; CDG ; NRT ; 11h40 ; ; 777
S ; NRT ; CDG ; 12h25 ; ; 777
S ; CDG ; SIN ; 12h50 ; AF 256 ; 777
S ; SIN ; CDG ; 13h10 ; AF 257 ; 777
S ; CDG ; BKK ; 11h15 ; AF 166 ; 777
S ; BKK ; CDG ; 12h05 ; AF 165 ; 777
S ; CDG ; SGN ; 12h00 ; ; 777
S ; SGN ; CDG ; 12h55 ; ; 777
S ; CDG ; HND ; 11h55 ; AF 272 ; 777
S ; HND ; CDG ; 12h20 ; AF 279 ; 777
S ; CDG ; HND ; 11h55 ; AF 274 ; 777
S ; HND ; CDG ; 12h35 ; AF 293 ; 777
S ; CDG ; BEY ; 04h05 ; AF 562 ; 777
S ; BEY ; CDG ; 04h40 ; AF 561 ; 777
S ; CDG ; BEY ; 04h10 ; AF 566 ; 777
S ; BEY ; CDG ; 04h35 ; AF 565 ; 777
S ; CDG ; DXB ; 06h50 ; ; 777
S ; DXB ; CDG ; 07h05 ; ; 777
S ; CDG ; ABJ ; 06h20 ; ; 777
S ; ABJ ; CDG ; 06h15 ; ; 777
S ; CDG ; DKR ; 05h40 ; ; 777
S ; DKR ; CDG ; 05h25 ; ; 777
S ; CDG ; LBV ; 06h45 ; ; 777
S ; LBV ; CDG ; 06h55 ; ; 777
S ; CDG ; DLA ; 06h25 ; AF 958 ; 777
